1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,EnclosedPorch,ExterCond,ExterQual,Fence,FireplaceQu,Fireplaces,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,KitchenAbvGr,KitchenQual,LandSlope,LotArea,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MasVnrArea,MiscVal,MoSold,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemod/Add,YrSold,TotalSF,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_No,Electrical_SBrkr,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_PreCast,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_PreCast,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,MSZoning_A (agr),MSZoning_C (all),MSZoning_FV,MSZoning_I (all),MSZoning_RH,MSZoning_RL,MSZoning_RM,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,MiscFeature_Gar2,MiscFeature_No,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_Oth,SaleType_VWD,SaleType_WD ,Utilities_AllPub,Utilities_NoSewr
-0.297104526,-0.795752209,-0.108531458,0.042811556,-1.008823369,0.307670608,0.609567389,-0.451748032,2.178762877,-1.349598145,-0.368422811,1.068108416,-0.24046357,0.979638946,-0.52571743,-3.687986413,3.235427282,0.388382592,0.624119232,0.467506669,-0.122178413,-0.933693328,-0.960427317,-5.172034929,-0.91298151,-1.007144668,0.283756032,0.883617052,0.323239552,0.168329996,-0.941502251,-0.757400462,1.368616812,-0.213532981,0.843523457,-0.236504709,-0.364791136,0.148634504,0.756278914,-0.089543867,-0.310895959,-0.557904065,-0.114438646,0.511787915,-0.22371692,-1.519067133,-0.75658483,0.308225449,-0.054980085,0.031896845,-0.299431356,0.07066669,-1.573329656,0.005817672,-0.736228297,-2.096762202,1.115649687,0.834375955,-0.602150716,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0.581574749,-0.795752209,-0.108531458,0.042811556,-1.008823369,0.307670608,-0.30820823,0.976301546,-0.306636269,-0.903248121,0.373963004,1.068108416,-0.24046357,0.979638946,-0.491864209,0.270813422,-0.380088387,0.388382592,0.624119232,0.467506669,-0.976364881,2.117889743,-0.960427317,0.261896574,-0.43365398,-1.007144668,0.283756032,0.883617052,0.323239552,0.161004302,-0.269976473,-0.757400462,1.368616812,-0.213532981,0.843523457,-0.236504709,0.742517302,1.042665487,0.756278914,-0.089543867,-0.847291562,-0.245893027,-0.114438646,0.511787915,-0.712622612,-0.596612469,-0.75658483,0.308225449,-0.054980085,0.031896845,-0.299431356,0.07066669,-0.90190872,0.365231635,-0.736228297,-0.589019308,-1.457700126,-1.444802758,0.029915041,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.437021608,0.656465642,-0.108531458,0.042811556,0.216394136,0.307670608,0.609567389,-1.045566627,-0.306636269,1.328501999,0.373963004,-0.857360567,-0.24046357,0.979638946,1.075056324,0.270813422,-0.380088387,0.388382592,0.624119232,0.467506669,-0.976364881,0.592098208,-0.960427317,0.261896574,-0.751523816,-1.007144668,0.283756032,0.883617052,0.323239552,0.126817729,0.245430255,-0.757400462,0.218807077,-0.213532981,-1.677639589,-0.236504709,-0.463866102,0.297639668,0.756278914,-0.089543867,0.493697445,-0.557904065,-0.114438646,-2.008196675,-0.712622612,-0.596612469,0.005688608,0.308225449,-0.054980085,0.031896845,-0.299431356,0.07066669,-0.230487784,-0.119851546,-0.736228297,-1.079912343,-1.603361437,-1.444802758,0.096302691,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.416472592,1.045323976,-0.108531458,0.042811556,0.216394136,0.307670608,-0.30820823,-1.045566627,-0.306636269,1.328501999,0.373963004,-0.857360567,-0.24046357,-0.771946775,0.50922391,0.270813422,-0.380088387,0.388382592,0.624119232,0.467506669,1.586194524,0.592098208,0.904750371,-3.813552054,0.141539056,0.381782112,0.283756032,0.883617052,0.323239552,0.22693555,1.244164454,1.252335418,1.368616812,-0.213532981,0.843523457,-0.236504709,0.049640092,0.744655159,0.756278914,-0.089543867,0.761895247,1.002151124,-0.114438646,-0.568205481,0.477047904,0.325842195,0.767962046,0.308225449,-0.054980085,0.031896845,-0.299431356,0.07066669,0.440933152,-0.707983486,-0.519948265,0.357702974,0.241681826,0.074649717,0.418559412,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.715895147,-0.795752209,11.44259617,0.042811556,-1.008823369,0.307670608,0.609567389,0.142070564,-0.306636269,0.882151975,0.373963004,1.068108416,-0.24046357,0.979638946,-0.015501022,0.270813422,-0.380088387,0.388382592,0.624119232,0.467506669,-0.122178413,-0.933693328,-0.960427317,-3.813552054,2.195079106,0.381782112,0.283756032,0.883617052,0.323239552,0.27821541,-0.167322851,-0.757400462,0.218807077,-0.213532981,0.843523457,-0.236504709,0.425218392,0.446644832,0.756278914,-0.089543867,-0.57909376,-0.557904065,1.770019552,0.511787915,-0.712622612,-0.596612469,-0.75658483,0.308225449,-0.054980085,0.031896845,-0.299431356,0.07066669,-0.230487784,-0.011776019,-0.156906782,-0.483827944,0.872880836,-1.444802758,-0.111158717,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1.090872927,2.8479944,-0.108531458,0.042811556,1.441611642,0.307670608,-0.30820823,-1.045566627,-0.306636269,1.328501999,0.373963004,-0.857360567,-0.24046357,0.979638946,1.401498102,0.270813422,-0.380088387,-2.213780772,-0.994564195,-3.112258684,1.586194524,2.117889743,0.904750371,0.261896574,1.912528141,1.770708893,0.283756032,0.883617052,-4.83320092,0.258680225,4.588961644,1.252335418,-0.931002659,-0.213532981,-2.518027271,-0.236504709,1.674987565,1.042665487,-0.654505882,19.96898017,1.29829085,-0.557904065,-0.114438646,0.511787915,3.52456005,3.093206186,3.05478236,0.308225449,-0.054980085,0.031896845,7.234117131,0.07066669,3.798037832,0.219455343,-0.736228297,-2.72791039,0.484450676,-1.444802758,2.300925921,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.604922106,-0.795752209,-0.108531458,0.042811556,-1.008823369,0.307670608,0.609567389,0.726272664,-0.306636269,-1.349598145,0.373963004,1.068108416,-0.24046357,0.979638946,-0.852159208,0.270813422,-0.380088387,0.388382592,0.624119232,0.467506669,-0.122178413,-0.933693328,-0.960427317,0.261896574,-0.549701698,-1.007144668,0.283756032,0.883617052,0.323239552,0.182981385,-1.176750135,-0.757400462,1.368616812,-0.213532981,0.843523457,-0.236504709,0.382221153,-1.639427462,-0.654505882,-0.089543867,-0.57909376,-0.557904065,-0.114438646,1.591781311,-0.712622612,0.325842195,-0.75658483,0.308225449,-0.054980085,0.031896845,2.934482141,0.07066669,-1.573329656,-0.270654608,0.345171864,-0.273445214,-1.020716196,0.074649717,-0.906427448,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1.519019198,-0.795752209,-0.108531458,0.042811556,0.216394136,-5.069876546,-0.30820823,1.464338691,1.735132492,-0.456898097,-0.368422811,1.068108416,-0.24046357,-0.771946775,-1.275324475,0.270813422,-0.380088387,-4.815944135,-4.231931049,-2.217317345,-0.976364881,0.592098208,2.76992806,0.261896574,0.449317786,0.381782112,0.283756032,0.038874948,0.323239552,0.217167958,0.446460265,-0.757400462,-0.931002659,-0.213532981,-2.518027271,-0.236504709,0.811157474,1.430078913,0.756278914,-0.089543867,-0.57909376,-0.557904065,-0.114438646,0.151790117,0.754094463,3.093206186,1.530235484,0.308225449,-0.054980085,0.031896845,-0.299431356,0.07066669,-0.230487784,1.021224953,1.426572025,0.217447821,1.164203457,0.074649717,0.854228369,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.56014864,-0.795752209,-0.108531458,0.042811556,0.216394136,0.307670608,0.609567389,-0.305096476,-0.306636269,0.882151975,0.373963004,-0.857360567,-0.24046357,0.979638946,0.223889615,0.270813422,-0.380088387,0.388382592,0.624119232,0.467506669,-0.122178413,-0.933693328,-0.960427317,0.261896574,-0.872617086,-1.007144668,0.283756032,-1.650609261,0.323239552,0.170771894,-1.142532261,-0.757400462,0.218807077,-0.213532981,0.843523457,-0.236504709,-0.520202847,-0.149375823,0.756278914,-0.089543867,-0.57909376,-0.557904065,-0.114438646,0.511787915,-0.712622612,0.325842195,-0.75658483,0.308225449,-0.054980085,0.031896845,-0.299431356,0.07066669,-0.90190872,-0.230440458,-0.736228297,-0.448764155,-1.263485046,0.074649717,-0.862169014,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
-1.298910833,0.702072484,-0.108531458,-3.781687448,0.216394136,0.307670608,0.609567389,-1.045566627,-0.306636269,1.328501999,0.373963004,1.068108416,-0.24046357,0.979638946,0.233561964,0.270813422,-0.380088387,0.388382592,0.624119232,0.467506669,-0.976364881,0.592098208,-0.960427317,0.261896574,-0.91298151,-1.007144668,0.283756032,0.883617052,0.323239552,0.073095971,-0.372630095,-0.757400462,-0.931002659,-0.213532981,-2.518027271,-0.236504709,-0.831026268,0.148634504,0.756278914,-0.089543867,1.030093048,-0.557904065,-0.114438646,0.151790117,0.965953596,1.248296858,0.005688608,-3.504286258,-0.054980085,0.031896845,-0.299431356,0.07066669,-0.90190872,-0.994509303,-0.736228297,-1.851315685,1.164203457,0.834375955,-0.784716755,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
